snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version
1,MCSNR J0447-6918,J0447-6918,71.80083333333333,-69.32111111111111,SNR,6.0,3.8,4.9,2.45,71.26756,320.0,ellipse,0.024,0.011,False,,0.4489795918367347,0.7738791177495933,B17,2017ApJS..230....2B,ok,,,B17-Candidates-New,,,,,,,,,,,False,True,False,False,True,False,,3
2,MCSNR J0448-6700,J0448-6700,72.10499999999999,-67.00694444444444,SNR,5.4,5.4,5.4,2.7,78.53976,0.0,circle,0.222,0.015,False,Ia,0.0,0.0,BGS06,"2006ApJS..165..480B (Blair et al. 2006, UV)",verify-bibcode,,,[HP99] 460,0.46,,,,-0.11,0.05,0.0334,,,,True,True,False,False,True,False,,3
3,MCSNR J0449-6903,J0449-6903,72.39166666666665,-69.05944444444444,SNR,3.6,3.4,3.5,1.75,50.9054,0.0,ellipse,0.03,0.0087,False,,0.0571428571428572,0.32867109906109,B17,2017ApJS..230....2B,ok,,,B17-Candidates,,,,,-0.5,0.01,0.0984,,,,False,True,False,False,True,False,,3
4,MCSNR J0449-6920,J0449-6920,72.33333333333331,-69.33888888888889,SNR,3.3,3.3,3.3,1.65,47.99652,0.0,circle,0.063,0.0096,False,CC,0.0,0.0,KPS10,"Klimek, Points & Smith 2010",verify-bibcode,,,,0.07,2.33,,,-0.4,0.08,0.0869,0.599,21400.0,0.291,True,True,True,False,False,False,,3
5,MCSNR J0450-7050,J0450-7050,72.6125,-70.83749999999999,SNR,6.4,6.4,6.4,3.2,93.08416,0.0,circle,0.253,0.019,False,CC,0.0,0.0,MFT85,Mathewson et al. 1985,verify-bibcode,,,B0450-709,0.59,0.93,,,-0.41,0.03,0.6893,2.96,40600.0,0.13,True,True,True,False,False,False,,3
6,MCSNR J0453-6655,J0453-6655,73.29249999999999,-66.91444444444446,SNR,4.3,4.3,4.3,2.15,62.54092,0.0,circle,0.514,0.018,False,CC,0.0,0.0,SCM94,"Smith, Chu & Mac Low 1994",verify-bibcode,,,N4,1.17,0.6,,,-0.58,0.06,0.1116,2.78,25000.0,0.189,True,True,True,False,False,False,,3
7,MCSNR J0453-6829,J0453-6829,73.40708333333332,-68.49388888888889,SNR,3.3,3.3,3.3,1.65,47.99652,0.0,circle,6.23,0.06,False,CC?,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0453-685,13.85,0.54,13500.0,1500.0,-0.34,0.01,0.21,0.829,11400.0,0.577,True,True,True,False,False,False,,3
8,MCSNR J0454-6626,J0454-6626,73.70416666666667,-66.42555555555556,SNR,2.5,2.5,2.5,1.25,36.361,0.0,circle,0.396,0.015,False,CC,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N11L,0.63,0.35,,,-0.5,0.03,0.1539,0.164,11100.0,0.166,True,True,True,False,False,False,,3
9,MCSNR J0454-6713,J0454-6713,73.61333333333333,-67.22222222222223,SNR,2.4,2.4,2.4,1.2,34.90656,0.0,circle,0.758,0.0022,False,Ia?,0.0,0.0,SCM94,"Smith, Chu & Mac Low 1994",verify-bibcode,,,N9,1.58,1.32,,,-0.51,0.03,0.0767,,,,True,True,False,False,False,False,,3
10,MCSNR J0454-7003,J0454-7003,73.5825,-70.05749999999999,SNR,2.6,2.4,2.5,1.25,36.361,80.0,ellipse,0.048,0.00525,False,,0.08000000000000007,0.38461538461538475,Y20,"Yew 2020, PhD thesis",verify-bibcode,,,,,,,,,,,,,,False,False,False,True,False,False,,3
11,MCSNR J0455-6839,J0455-6839,73.87166666666666,-68.65027777777779,SNR,6.4,5.2,5.800000000000001,2.9000000000000004,84.35752000000002,90.0,ellipse,0.757,0.03,False,CC,0.20689655172413793,0.5829611908180511,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N86,1.42,,,,-0.51,0.04,0.3345,,,,True,True,False,False,False,False,,3
12,MCSNR J0456-6533,J0456-6533,74.21125,-65.54555555555555,SNR,5.7,5.7,5.7,2.85,82.90308,0.0,circle,0.18,0.014,False,Ia,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,typed Ia (TN) from Z24 + XMM analysis (Shukla 2024),3
13,MCSNR J0456-6950,J0456-6950,74.15833333333333,-69.84861111111111,SNR,5.4,4.2,4.800000000000001,2.4000000000000004,69.81312000000001,0.0,ellipse,0.01,0.0133,False,,0.25,0.628539361054709,B17,2017ApJS..230....2B,ok,,,B17-Candidates-New,,,,,,,,,,,False,True,False,False,True,False,,3
14,MCSNR J0459-7008,J0459-7008,74.96624999999999,-70.13055555555555,SNR,2.9,2.9,2.9,1.45,42.17876,0.0,circle,0.211,0.013,False,CC,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N186D,1.09,0.93,,,,,,,,,True,True,False,False,False,False,,3
15,MCSNR J0500-6512,J0500-6512,75.22166666666666,-65.19611111111111,SNR,6.2,3.8,5.0,2.5,72.722,55.0,ellipse,0.071,0.013,False,Ia?,0.4800000000000001,0.7901579815429607,Y21,2021MNRAS.500.2336Y,ok,TW,"Shukla 2024, MSc thesis",,,,,,,,,,,,False,False,False,True,False,False,Y21 optical candidate confirmed as MCSNR by Shukla 2024 (XMM-Newton follow-up; thesis sec. 7.2.1); [SII]/Ha=0.81,3
16,MCSNR J0504-6723,J0504-6723,76.19208333333331,-67.39972222222222,SNR,5.5,5.5,5.5,2.75,79.99419999999999,0.0,circle,0.142,0.015,False,,0.0,0.0,HP99,1999A&AS..139..277H (Haberl & Pietsch 1999),ok,,,,,,,,,,,,,,False,False,False,False,True,False,,3
17,MCSNR J0505-6753,J0505-6753,76.42458333333333,-67.87916666666666,SNR,2.2,2.2,2.2,1.1,31.997680000000003,0.0,circle,18.0,0.1,False,Ia?,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L71,44.59,,4700.0,,-0.6,0.02,0.0087,0.674,6840.0,1.28,True,True,True,False,False,False,,3
18,MCSNR J0505-6802,J0505-6802,76.47791666666664,-68.03055555555555,SNR,2.2,1.8,2.0,1.0,29.0888,45.0,ellipse,10.9,0.1,False,CC?,0.20000000000000007,0.5749595745760689,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N23,26.25,0.81,4600.0,,-0.6,0.04,0.3926,1.06,10000.0,1.54,True,True,True,False,False,False,,3
19,MCSNR J0506-6541,J0506-6541,76.49916666666665,-65.71027777777778,SNR,8.6,8.6,8.6,4.3,125.08184,0.0,circle,0.222,0.018,False,Ia,0.0,0.0,KPS10,"Klimek, Points & Smith 2010",verify-bibcode,,,DEM L72,0.53,0.39,,,,,,0.765,56800.0,0.0254,True,True,True,False,False,False,,3
20,MCSNR J0506-6815,J0506-6815,76.52958333333332,-68.26194444444444,SNR,4.4,4.0,4.2,2.1,61.08648,30.0,ellipse,0.092,0.0125,False,,0.09523809523809532,0.416597790450531,B17,2017ApJS..230....2B,ok,,,B17-Candidates,,,,,0.0,0.41,0.0371,,,,False,True,False,False,False,False,,3
21,MCSNR J0506-7009,J0506-7009,76.56583333333333,-70.15555555555557,SNR,3.2,2.4,2.8,1.4,40.72432,140.0,ellipse,0.095,0.0095,False,,0.2857142857142858,0.6614378277661477,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
22,MCSNR J0506-7026,J0506-7026,76.70833333333333,-70.43138888888889,SNR,5.5,5.5,5.5,2.75,79.99419999999999,0.0,circle,0.588,0.023,False,Ia?,0.0,0.0,Lea17,Lea17,unmapped,,,[HP99] 1139,1.44,,19000.0,2000.0,,,,1.1,15900.0,0.0258,True,True,True,False,False,False,,3
23,MCSNR J0507-6847,J0507-6847,76.88999999999999,-68.79083333333332,SNR,11.0,9.2,10.1,5.05,146.89844,120.0,ellipse,0.867,0.055,False,,0.1782178217821783,0.5481750338793214,B17,2017ApJS..230....2B,ok,,,"B17-Candidates, conf by Ma21",,,,,,,,,,,False,True,False,False,False,False,,3
24,MCSNR J0508-6830,J0508-6830,77.20833333333334,-68.51388888888889,SNR,3.4,3.4,3.4,1.7,49.45096,0.0,circle,0.062,0.0091,False,Ia?,0.0,0.0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,J0508-6830,0.09,,20000.0,,,,,0.0871,4650.0,0.000715,True,True,True,False,False,False,,3
25,MCSNR J0508-6902,J0508-6902,77.15416666666665,-69.04833333333333,SNR,3.6,3.6,3.6,1.8,52.35984,0.0,circle,0.194,0.013,False,Ia?,0.0,0.0,BKM14,BKM14,unmapped,,,[HP99] 791,0.37,,22500.0,2500.0,,,,0.582,26600.0,0.0183,True,True,True,False,False,False,,3
26,MCSNR J0509-6731,J0509-6731,77.3775,-67.52222222222223,SNR,1.5,1.5,1.5,0.75,21.8166,0.0,circle,5.61,0.05,False,Ia?,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0509-67.5,16.51,1.42,400.0,120.0,-0.73,0.02,0.0974,0.037,3960.0,1.87,True,True,True,False,False,False,,3
27,MCSNR J0509-6844,J0509-6844,77.24583333333332,-68.72638888888889,SNR,2.4,2.4,2.4,1.2,34.90656,0.0,circle,20.6,0.1,False,Ia?,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N103B,51.7,1.16,860.0,,-0.65,0.03,0.578,0.116,3220.0,5.52,True,True,True,False,False,False,,3
28,MCSNR J0510-6708,J0510-6708,77.5475,-67.13444444444445,SNR,2.0,2.0,2.0,1.0,29.0888,0.0,circle,0.021,0.0088,False,,0.0,0.0,B17,2017ApJS..230....2B,ok,,,B17-Candidates-New,,,,,-0.5,0.0,0.0029,,,,False,True,False,False,True,False,,3
29,MCSNR J0511-6759,J0511-6759,77.82249999999999,-67.98611111111111,SNR,4.1,4.1,4.1,2.05,59.63203999999999,0.0,circle,0.119,0.011,False,Ia?,0.0,0.0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,,0.16,,20000.0,,,,,0.0535,8120.0,0.0108,True,True,True,False,False,False,,3
30,MCSNR J0512-6707,J0512-6707,78.1125,-67.12166666666666,SNR,2.6,2.6,2.6,1.3,37.81544,0.0,circle,0.058,0.0066,False,Ia?,0.0,0.0,KSB15b,KSB15b,unmapped,,,[HP99] 483,0.09,0.28,,,-0.49,0.01,0.1046,0.0407,15900.0,0.0392,True,True,True,False,False,False,,3
31,MCSNR J0512-6716,J0512-6716,78.10291666666666,-67.28194444444445,SNR,7.8,7.4,7.6,3.8,110.53744,45.0,ellipse,0.14,0.019,False,,0.052631578947368356,0.31612379502404975,B17,2017ApJS..230....2B,ok,,,B17-Candidates-New,,,,,,,,,,,False,True,False,False,True,False,,3
32,MCSNR J0513-6724,J0513-6724,78.42916666666666,-67.40277777777779,SNR,2.6,2.0,2.3,1.15,33.452119999999994,0.0,ellipse,0.05,0.0059,False,,0.26086956521739135,0.6389710663783135,Ma19,2019MNRAS.490.5494M,ok,,,"B17-Candidates, conf by Ma19",,,,,-0.61,0.41,0.0279,,,,False,True,False,False,False,False,,3
33,MCSNR J0513-6912,J0513-6912,78.29833333333332,-69.20555555555556,SNR,4.0,3.2,3.6,1.8,52.35984,55.0,ellipse,0.236,0.0154,False,Ia,0.22222222222222215,0.5999999999999999,MFT85,Mathewson et al. 1985,verify-bibcode,,,DEM L109,0.51,0.56,,,-0.52,0.09,0.2423,0.654,21100.0,0.0426,True,True,True,False,False,False,,3
