snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version,hint_spec_m16,sn_type_m16,sn_type_b17,age_b17_kyr,age_b17_err_kyr,age_b17_ref,sigma_1ghz_b17_1e-20,sii_ha_y21,hr1,hr1_err,hr2,hr2_err,hr3,hr3_err,nh_z26_1e22,kt_z26_kev,tau_z26_1e11,fx_z26_1e-14,in_z26,age_k22_kyr,e0_k22_1e51,n0_k22_cm3
1,MCSNR J0447-6918,J0447-6918,71.8008333333333,-69.3211111111111,SNR,6,3.8,4.9,2.45,71.26756,320,ellipse,0.024,0.011,False,,0.448979591836735,0.773879117749593,B17,2017ApJS..230....2B,ok,,,MCSNR J0447-6919,,,,,,,,,,,False,True,False,False,True,False,B17-Candidate_new,4,,,,,,,,,0.17,0.31,-0.87,0.55,,,,,,,False,22.0-28.0,0.17-0.95,0.025-0.063
2,MCSNR J0448-6700,J0448-6700,72.105,-67.0069444444444,SNR,5.4,5.4,5.4,2.7,78.53976,0,circle,0.222,0.015,False,Ia,0,0,BGS06,"2006ApJS..165..480B (Blair et al. 2006, UV)",verify-bibcode,,,[HP99] 460,0.46,,,,-0.11,0.05,0.0334,,,,True,True,False,False,True,False,,4,3,,X,,,,0.0317,,,,,,,,,,,,False,27.0-35.0,0.24-2.06,0.044-0.088
3,MCSNR J0449-6903,J0449-6903,72.3916666666667,-69.0594444444444,SNR,3.6,3.4,3.5,1.75,50.9054,0,ellipse,0.03,0.0087,False,,0.0571428571428572,0.32867109906109,B17,2017ApJS..230....2B,ok,,,,,,,,-0.5,0.01,0.0984,,,,False,True,False,False,True,False,B17-Candidate,4,,,,,,,0.2926,,-0.13,0.46,0.42,0.31,-0.66,0.5,,,,,False,9.0-15.0,0.01-0.17,0.016-0.044
4,MCSNR J0449-6920,J0449-6920,72.3333333333333,-69.3388888888889,SNR,3.3,3.3,3.3,1.65,47.99652,0,circle,0.063,0.0096,False,CC,0,0,KPS10,"Klimek, Points & Smith 2010",verify-bibcode,,,,0.07,2.33,,,-0.4,0.08,0.0869,0.599,21400,0.291,True,True,True,False,False,False,,4,3,,X,,,,0.356,,,,,,,,,,,,False,,,
5,MCSNR J0450-7050,J0450-7050,72.6125,-70.8375,SNR,6.4,6.4,6.4,3.2,93.08416,0,circle,0.253,0.019,False,CC,0,0,MFT85,Mathewson et al. 1985,verify-bibcode,,,B0450-709,0.59,0.93,,,-0.41,0.03,0.6893,2.96,40600,0.13,True,True,True,False,False,False,,4,3,,CCq,70,25,Williams et al. (2004),0.205,,,,,,,,0.05+0.17-0.04,0.29+0.02-0.04,40.6+429-14.7,27.5±1.4,True,,,
6,MCSNR J0453-6655,J0453-6655,73.2925,-66.9144444444445,SNR,4.3,4.3,4.3,2.15,62.54092,0,circle,0.514,0.018,False,CC,0,0,SCM94,"Smith, Chu & Mac Low 1994",verify-bibcode,,,N4,1.17,0.6,,,-0.58,0.06,0.1116,2.78,25000,0.189,True,True,True,False,False,False,,4,3,,X,,,,0.104,,,,,,,,<0.04,0.75+0.27-0.19,0.17+0.09-0.06,40.5±1.1,True,,,
7,MCSNR J0453-6829,J0453-6829,73.4070833333333,-68.4938888888889,SNR,3.3,3.3,3.3,1.65,47.99652,0,circle,6.23,0.06,False,CC?,0,0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0453-685,13.85,0.54,13500,1500,-0.34,0.01,0.21,0.829,11400,0.577,True,True,True,False,False,False,,4,5,CC,CCpwn,13.5,1.5,Williams et al. (2004),0.773,,,,,,,,0.02+0.01-0.01,0.96+0.08-0.07,0.12+0.01-0.01,480.5±3.5,True,,,
8,MCSNR J0454-6626,J0454-6626,73.7041666666667,-66.4255555555556,SNR,2.5,2.5,2.5,1.25,36.361,0,circle,0.396,0.015,False,CC,0,0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N11L,0.63,0.35,,,-0.5,0.03,0.1539,0.164,11100,0.166,True,True,True,False,False,False,,4,3,,CCq,11,4,Williams et al. (1999),1.3,,,,,,,,,,,,False,,,
9,MCSNR J0454-6713,J0454-6713,73.6133333333333,-67.2222222222222,SNR,2.4,2.4,2.4,1.2,34.90656,0,circle,0.758,0.0022,False,Ia?,0,0,SCM94,"Smith, Chu & Mac Low 1994",verify-bibcode,,,N9,1.58,1.32,,,-0.51,0.03,0.0767,,,,True,True,False,False,False,False,,4,3,,TN,29.5,7.5,Seward et al. (2006),0.247,,,,,,,,<0.01,0.42+0.02-0.03,306+170-266,55.2±1.1,True,,,
10,MCSNR J0454-7003,J0454-7003,73.5825,-70.0575,SNR,2.6,2.4,2.5,1.25,36.361,80,ellipse,0.048,0.00525,False,,0.08,0.384615384615385,Y21,2021MNRAS.500.2336Y,ok,Za24,2024A&A...692A.237Z,,,,,,,,,,,,False,False,False,True,False,False,"Y21-Candidate; confirmed by Z24, 3-sigma detection",4,,,,,,,,0.8,-0.66,0.13,-0.44,0.44,-0.1,0.88,,,,,False,,,
